ignore	id	layer	type	porosity
81x81 uint16	'B17_80mi_sp5'	1	"Keyhole porosity"	4.50000000000000
81x81 uint16	'B17_80mi_sp6'	1	"Keyhole porosity"	3.19000000000000
81x81 uint16	'B10_sp1'	2	"Lack of fusion"	0.310000000000000
81x81 uint16	'B10_sp10'	2	"Lack of fusion"	0.190000000000000
81x81 uint16	'B10_sp11'	2	"Lack of fusion"	0.630000000000000
81x81 uint16	'B10_sp12'	2	"Lack of fusion"	1.27000000000000
81x81 uint16	'B10_sp13'	2	"Keyhole porosity"	0.440000000000000
81x81 uint16	'B10_sp14'	2	"Residual porosity"	0.00500000000000000
81x81 uint16	'B10_sp15'	2	"Residual porosity"	0.00500000000000000
81x81 uint16	'B10_sp16'	2	"Residual porosity"	0.0200000000000000
81x81 uint16	'B10_sp17'	2	"Lack of fusion"	0.100000000000000
81x81 uint16	'B10_sp18'	2	"Lack of fusion"	0.140000000000000
81x81 uint16	'B10_sp2'	2	"Lack of fusion"	1.41000000000000
81x81 uint16	'B10_sp3'	2	"Lack of fusion"	5.48000000000000
81x81 uint16	'B10_sp4'	2	"Lack of fusion"	7.97000000000000
81x81 uint16	'B10_sp5'	2	"Lack of fusion"	11.6000000000000
81x81 uint16	'B10_sp6'	2	"Lack of fusion"	14.2000000000000
81x81 uint16	'B10_sp7'	2	"Keyhole porosity"	0.0300000000000000
81x81 uint16	'B10_sp8'	2	"Residual porosity"	0.0100000000000000
81x81 uint16	'B10_sp9'	2	"Residual porosity"	0.00500000000000000
81x81 uint16	'B11_sp1'	2	"Lack of fusion"	0.780000000000000
81x81 uint16	'B11_sp10'	2	"Lack of fusion"	0.440000000000000
81x81 uint16	'B11_sp11'	2	"Lack of fusion"	1.67000000000000
81x81 uint16	'B11_sp12'	2	"Lack of fusion"	4.51000000000000
81x81 uint16	'B11_sp13'	2	"Keyhole porosity"	0.300000000000000
81x81 uint16	'B11_sp14'	2	"Residual porosity"	0.00500000000000000
81x81 uint16	'B11_sp15'	2	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp16'	2	"Lack of fusion"	0.0400000000000000
81x81 uint16	'B11_sp17'	2	"Lack of fusion"	0.120000000000000
81x81 uint16	'B11_sp18'	2	"Lack of fusion"	0.260000000000000
81x81 uint16	'B11_sp2'	2	"Lack of fusion"	5.95000000000000
81x81 uint16	'B11_sp3'	2	"Lack of fusion"	14.3000000000000
81x81 uint16	'B11_sp4'	2	"Lack of fusion"	19.4000000000000
81x81 uint16	'B11_sp5'	2	"Lack of fusion"	27.3000000000000
81x81 uint16	'B11_sp6'	2	"Lack of fusion"	32.1000000000000
81x81 uint16	'B11_sp7'	2	"Keyhole porosity"	0.0200000000000000
81x81 uint16	'B11_sp8'	2	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp9'	2	"Lack of fusion"	0.0900000000000000
81x81 uint16	'B17_40mi_sp1'	2	"Keyhole porosity"	0.140000000000000
81x81 uint16	'B17_40mi_sp2'	2	"Lack of fusion"	0.760000000000000
81x81 uint16	'B17_40mi_sp3'	2	"Keyhole porosity"	5.12000000000000
81x81 uint16	'B17_40mi_sp4'	2	"Keyhole porosity"	2.77000000000000
81x81 uint16	'B17_40mi_sp5'	2	"Keyhole porosity"	3.31000000000000
81x81 uint16	'B17_40mi_sp6'	2	"Keyhole porosity"	3.50000000000000
81x81 uint16	'B10_sp1'	3	"Lack of fusion"	0.310000000000000
81x81 uint16	'B10_sp10'	3	"Lack of fusion"	0.190000000000000
81x81 uint16	'B10_sp11'	3	"Lack of fusion"	0.630000000000000
81x81 uint16	'B10_sp12'	3	"Lack of fusion"	1.27000000000000
81x81 uint16	'B10_sp13'	3	"Keyhole porosity"	0.440000000000000
81x81 uint16	'B10_sp14'	3	"Residual porosity"	0.00500000000000000
81x81 uint16	'B10_sp15'	3	"Residual porosity"	0.00500000000000000
81x81 uint16	'B10_sp16'	3	"Residual porosity"	0.0200000000000000
81x81 uint16	'B10_sp17'	3	"Lack of fusion"	0.100000000000000
81x81 uint16	'B10_sp18'	3	"Lack of fusion"	0.140000000000000
81x81 uint16	'B10_sp2'	3	"Lack of fusion"	1.41000000000000
81x81 uint16	'B10_sp3'	3	"Lack of fusion"	5.48000000000000
81x81 uint16	'B10_sp4'	3	"Lack of fusion"	7.97000000000000
81x81 uint16	'B10_sp5'	3	"Lack of fusion"	11.6000000000000
81x81 uint16	'B10_sp6'	3	"Lack of fusion"	14.2000000000000
81x81 uint16	'B10_sp7'	3	"Keyhole porosity"	0.0300000000000000
81x81 uint16	'B10_sp8'	3	"Residual porosity"	0.0100000000000000
81x81 uint16	'B10_sp9'	3	"Residual porosity"	0.00500000000000000
81x81 uint16	'B11_sp1'	3	"Lack of fusion"	0.780000000000000
81x81 uint16	'B11_sp10'	3	"Lack of fusion"	0.440000000000000
81x81 uint16	'B11_sp11'	3	"Lack of fusion"	1.67000000000000
81x81 uint16	'B11_sp12'	3	"Lack of fusion"	4.51000000000000
81x81 uint16	'B11_sp13'	3	"Keyhole porosity"	0.300000000000000
81x81 uint16	'B11_sp14'	3	"Residual porosity"	0.00500000000000000
81x81 uint16	'B11_sp15'	3	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp16'	3	"Lack of fusion"	0.0400000000000000
81x81 uint16	'B11_sp17'	3	"Lack of fusion"	0.120000000000000
81x81 uint16	'B11_sp18'	3	"Lack of fusion"	0.260000000000000
81x81 uint16	'B11_sp2'	3	"Lack of fusion"	5.95000000000000
81x81 uint16	'B11_sp3'	3	"Lack of fusion"	14.3000000000000
81x81 uint16	'B11_sp4'	3	"Lack of fusion"	19.4000000000000
81x81 uint16	'B11_sp5'	3	"Lack of fusion"	27.3000000000000
81x81 uint16	'B11_sp6'	3	"Lack of fusion"	32.1000000000000
81x81 uint16	'B11_sp7'	3	"Keyhole porosity"	0.0200000000000000
81x81 uint16	'B11_sp8'	3	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp9'	3	"Lack of fusion"	0.0900000000000000
81x81 uint16	'B17_40mi_sp1'	3	"Keyhole porosity"	0.140000000000000
81x81 uint16	'B17_40mi_sp2'	3	"Lack of fusion"	0.760000000000000
81x81 uint16	'B17_40mi_sp3'	3	"Keyhole porosity"	5.12000000000000
81x81 uint16	'B17_40mi_sp4'	3	"Keyhole porosity"	2.77000000000000
81x81 uint16	'B17_40mi_sp5'	3	"Keyhole porosity"	3.31000000000000
81x81 uint16	'B17_40mi_sp6'	3	"Keyhole porosity"	3.50000000000000
81x81 uint16	'B17_80mi_sp1'	3	"Lack of fusion"	5.61000000000000
81x81 uint16	'B17_80mi_sp2'	3	"Lack of fusion"	11.7000000000000
81x81 uint16	'B17_80mi_sp3'	3	"Keyhole porosity"	6.79000000000000
81x81 uint16	'B17_80mi_sp4'	3	"Keyhole porosity"	2.19000000000000
81x81 uint16	'B17_80mi_sp5'	3	"Keyhole porosity"	4.50000000000000
81x81 uint16	'B17_80mi_sp6'	3	"Keyhole porosity"	3.19000000000000
81x81 uint16	'B10_sp1'	4	"Lack of fusion"	0.310000000000000
81x81 uint16	'B10_sp10'	4	"Lack of fusion"	0.190000000000000
81x81 uint16	'B10_sp11'	4	"Lack of fusion"	0.630000000000000
81x81 uint16	'B10_sp12'	4	"Lack of fusion"	1.27000000000000
81x81 uint16	'B10_sp13'	4	"Keyhole porosity"	0.440000000000000
81x81 uint16	'B10_sp14'	4	"Residual porosity"	0.00500000000000000
81x81 uint16	'B10_sp15'	4	"Residual porosity"	0.00500000000000000
81x81 uint16	'B10_sp16'	4	"Residual porosity"	0.0200000000000000
81x81 uint16	'B10_sp17'	4	"Lack of fusion"	0.100000000000000
81x81 uint16	'B10_sp18'	4	"Lack of fusion"	0.140000000000000
81x81 uint16	'B10_sp2'	4	"Lack of fusion"	1.41000000000000
81x81 uint16	'B10_sp3'	4	"Lack of fusion"	5.48000000000000
81x81 uint16	'B10_sp4'	4	"Lack of fusion"	7.97000000000000
81x81 uint16	'B10_sp5'	4	"Lack of fusion"	11.6000000000000
81x81 uint16	'B10_sp6'	4	"Lack of fusion"	14.2000000000000
81x81 uint16	'B10_sp7'	4	"Keyhole porosity"	0.0300000000000000
81x81 uint16	'B10_sp8'	4	"Residual porosity"	0.0100000000000000
81x81 uint16	'B10_sp9'	4	"Residual porosity"	0.00500000000000000
81x81 uint16	'B11_sp1'	4	"Lack of fusion"	0.780000000000000
81x81 uint16	'B11_sp10'	4	"Lack of fusion"	0.440000000000000
81x81 uint16	'B11_sp11'	4	"Lack of fusion"	1.67000000000000
81x81 uint16	'B11_sp12'	4	"Lack of fusion"	4.51000000000000
81x81 uint16	'B11_sp13'	4	"Keyhole porosity"	0.300000000000000
81x81 uint16	'B11_sp14'	4	"Residual porosity"	0.00500000000000000
81x81 uint16	'B11_sp15'	4	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp16'	4	"Lack of fusion"	0.0400000000000000
81x81 uint16	'B11_sp17'	4	"Lack of fusion"	0.120000000000000
81x81 uint16	'B11_sp18'	4	"Lack of fusion"	0.260000000000000
81x81 uint16	'B11_sp2'	4	"Lack of fusion"	5.95000000000000
81x81 uint16	'B11_sp3'	4	"Lack of fusion"	14.3000000000000
81x81 uint16	'B11_sp4'	4	"Lack of fusion"	19.4000000000000
81x81 uint16	'B11_sp5'	4	"Lack of fusion"	27.3000000000000
81x81 uint16	'B11_sp6'	4	"Lack of fusion"	32.1000000000000
81x81 uint16	'B11_sp7'	4	"Keyhole porosity"	0.0200000000000000
81x81 uint16	'B11_sp8'	4	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp9'	4	"Lack of fusion"	0.0900000000000000
81x81 uint16	'B14_sp1'	4	"Lack of fusion"	16.5000000000000
81x81 uint16	'B14_sp10'	4	"Lack of fusion"	12.1000000000000
81x81 uint16	'B14_sp11'	4	"Lack of fusion"	18.8000000000000
81x81 uint16	'B14_sp12'	4	"Lack of fusion"	25.6000000000000
81x81 uint16	'B14_sp13'	4	"Keyhole porosity"	0.350000000000000
81x81 uint16	'B14_sp14'	4	"Residual porosity"	0.0100000000000000
81x81 uint16	'B14_sp15'	4	"Residual porosity"	0.0300000000000000
81x81 uint16	'B14_sp16'	4	"Lack of fusion"	0.0600000000000000
81x81 uint16	'B14_sp17'	4	"Lack of fusion"	0.390000000000000
81x81 uint16	'B14_sp18'	4	"Lack of fusion"	2.53000000000000
81x81 uint16	'B14_sp2'	4	"Lack of fusion"	26.8000000000000
81x81 uint16	'B14_sp3'	4	"Lack of fusion"	35.1000000000000
81x81 uint16	'B14_sp4'	4	"Lack of fusion"	45.4000000000000
81x81 uint16	'B14_sp5'	4	"Lack of fusion"	50
81x81 uint16	'B14_sp6'	4	"Lack of fusion"	50
81x81 uint16	'B14_sp7'	4	"Keyhole porosity"	0.110000000000000
81x81 uint16	'B14_sp8'	4	"Lack of fusion"	0.310000000000000
81x81 uint16	'B14_sp9'	4	"Lack of fusion"	6.90000000000000
81x81 uint16	'B16_20mi_sp1'	4	"Keyhole porosity"	0.390000000000000
81x81 uint16	'B16_20mi_sp2'	4	"Residual porosity"	0.0100000000000000
81x81 uint16	'B16_20mi_sp3'	4	"Keyhole porosity"	4.47000000000000
81x81 uint16	'B16_20mi_sp4'	4	"Keyhole porosity"	2.55000000000000
81x81 uint16	'B16_20mi_sp5'	4	"Keyhole porosity"	2.34000000000000
81x81 uint16	'B17_40mi_sp1'	4	"Keyhole porosity"	0.140000000000000
81x81 uint16	'B17_40mi_sp2'	4	"Lack of fusion"	0.760000000000000
81x81 uint16	'B17_40mi_sp3'	4	"Keyhole porosity"	5.12000000000000
81x81 uint16	'B17_40mi_sp4'	4	"Keyhole porosity"	2.77000000000000
81x81 uint16	'B17_40mi_sp5'	4	"Keyhole porosity"	3.31000000000000
81x81 uint16	'B17_40mi_sp6'	4	"Keyhole porosity"	3.50000000000000
81x81 uint16	'B10_sp1'	5	"Lack of fusion"	0.310000000000000
81x81 uint16	'B10_sp10'	5	"Lack of fusion"	0.190000000000000
81x81 uint16	'B10_sp11'	5	"Lack of fusion"	0.630000000000000
81x81 uint16	'B10_sp12'	5	"Lack of fusion"	1.27000000000000
81x81 uint16	'B10_sp13'	5	"Keyhole porosity"	0.440000000000000
81x81 uint16	'B10_sp14'	5	"Residual porosity"	0.00500000000000000
81x81 uint16	'B10_sp15'	5	"Residual porosity"	0.00500000000000000
81x81 uint16	'B10_sp16'	5	"Residual porosity"	0.0200000000000000
81x81 uint16	'B10_sp17'	5	"Lack of fusion"	0.100000000000000
81x81 uint16	'B10_sp18'	5	"Lack of fusion"	0.140000000000000
81x81 uint16	'B10_sp2'	5	"Lack of fusion"	1.41000000000000
81x81 uint16	'B10_sp3'	5	"Lack of fusion"	5.48000000000000
81x81 uint16	'B10_sp4'	5	"Lack of fusion"	7.97000000000000
81x81 uint16	'B10_sp5'	5	"Lack of fusion"	11.6000000000000
81x81 uint16	'B10_sp6'	5	"Lack of fusion"	14.2000000000000
81x81 uint16	'B10_sp7'	5	"Keyhole porosity"	0.0300000000000000
81x81 uint16	'B10_sp8'	5	"Residual porosity"	0.0100000000000000
81x81 uint16	'B10_sp9'	5	"Residual porosity"	0.00500000000000000
81x81 uint16	'B11_sp1'	5	"Lack of fusion"	0.780000000000000
81x81 uint16	'B11_sp10'	5	"Lack of fusion"	0.440000000000000
81x81 uint16	'B11_sp11'	5	"Lack of fusion"	1.67000000000000
81x81 uint16	'B11_sp12'	5	"Lack of fusion"	4.51000000000000
81x81 uint16	'B11_sp13'	5	"Keyhole porosity"	0.300000000000000
81x81 uint16	'B11_sp14'	5	"Residual porosity"	0.00500000000000000
81x81 uint16	'B11_sp15'	5	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp16'	5	"Lack of fusion"	0.0400000000000000
81x81 uint16	'B11_sp17'	5	"Lack of fusion"	0.120000000000000
81x81 uint16	'B11_sp18'	5	"Lack of fusion"	0.260000000000000
81x81 uint16	'B11_sp2'	5	"Lack of fusion"	5.95000000000000
81x81 uint16	'B11_sp3'	5	"Lack of fusion"	14.3000000000000
81x81 uint16	'B11_sp4'	5	"Lack of fusion"	19.4000000000000
81x81 uint16	'B11_sp5'	5	"Lack of fusion"	27.3000000000000
81x81 uint16	'B11_sp6'	5	"Lack of fusion"	32.1000000000000
81x81 uint16	'B11_sp7'	5	"Keyhole porosity"	0.0200000000000000
81x81 uint16	'B11_sp8'	5	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp9'	5	"Lack of fusion"	0.0900000000000000
81x81 uint16	'B14_sp1'	5	"Lack of fusion"	16.5000000000000
81x81 uint16	'B14_sp10'	5	"Lack of fusion"	12.1000000000000
81x81 uint16	'B14_sp11'	5	"Lack of fusion"	18.8000000000000
81x81 uint16	'B14_sp12'	5	"Lack of fusion"	25.6000000000000
81x81 uint16	'B14_sp13'	5	"Keyhole porosity"	0.350000000000000
81x81 uint16	'B14_sp14'	5	"Residual porosity"	0.0100000000000000
81x81 uint16	'B14_sp15'	5	"Residual porosity"	0.0300000000000000
81x81 uint16	'B14_sp16'	5	"Lack of fusion"	0.0600000000000000
81x81 uint16	'B14_sp17'	5	"Lack of fusion"	0.390000000000000
81x81 uint16	'B14_sp18'	5	"Lack of fusion"	2.53000000000000
81x81 uint16	'B14_sp2'	5	"Lack of fusion"	26.8000000000000
81x81 uint16	'B14_sp3'	5	"Lack of fusion"	35.1000000000000
81x81 uint16	'B14_sp4'	5	"Lack of fusion"	45.4000000000000
81x81 uint16	'B14_sp5'	5	"Lack of fusion"	50
81x81 uint16	'B14_sp6'	5	"Lack of fusion"	50
81x81 uint16	'B14_sp7'	5	"Keyhole porosity"	0.110000000000000
81x81 uint16	'B14_sp8'	5	"Lack of fusion"	0.310000000000000
81x81 uint16	'B14_sp9'	5	"Lack of fusion"	6.90000000000000
81x81 uint16	'B16_20mi_sp1'	5	"Keyhole porosity"	0.390000000000000
81x81 uint16	'B16_20mi_sp2'	5	"Residual porosity"	0.0100000000000000
81x81 uint16	'B16_20mi_sp3'	5	"Keyhole porosity"	4.47000000000000
81x81 uint16	'B16_20mi_sp4'	5	"Keyhole porosity"	2.55000000000000
81x81 uint16	'B16_20mi_sp5'	5	"Keyhole porosity"	2.34000000000000
81x81 uint16	'B17_40mi_sp1'	5	"Keyhole porosity"	0.140000000000000
81x81 uint16	'B17_40mi_sp2'	5	"Lack of fusion"	0.760000000000000
81x81 uint16	'B17_40mi_sp3'	5	"Keyhole porosity"	5.12000000000000
81x81 uint16	'B17_40mi_sp4'	5	"Keyhole porosity"	2.77000000000000
81x81 uint16	'B17_40mi_sp5'	5	"Keyhole porosity"	3.31000000000000
81x81 uint16	'B17_40mi_sp6'	5	"Keyhole porosity"	3.50000000000000
81x81 uint16	'B17_80mi_sp1'	5	"Lack of fusion"	5.61000000000000
81x81 uint16	'B17_80mi_sp2'	5	"Lack of fusion"	11.7000000000000
81x81 uint16	'B17_80mi_sp3'	5	"Keyhole porosity"	6.79000000000000
81x81 uint16	'B17_80mi_sp4'	5	"Keyhole porosity"	2.19000000000000
81x81 uint16	'B17_80mi_sp5'	5	"Keyhole porosity"	4.50000000000000
81x81 uint16	'B17_80mi_sp6'	5	"Keyhole porosity"	3.19000000000000
81x81 uint16	'B10_sp1'	6	"Lack of fusion"	0.310000000000000
81x81 uint16	'B10_sp10'	6	"Lack of fusion"	0.190000000000000
81x81 uint16	'B10_sp11'	6	"Lack of fusion"	0.630000000000000
81x81 uint16	'B10_sp12'	6	"Lack of fusion"	1.27000000000000
81x81 uint16	'B10_sp13'	6	"Keyhole porosity"	0.440000000000000
81x81 uint16	'B10_sp14'	6	"Residual porosity"	0.00500000000000000
81x81 uint16	'B10_sp15'	6	"Residual porosity"	0.00500000000000000
81x81 uint16	'B10_sp16'	6	"Residual porosity"	0.0200000000000000
81x81 uint16	'B10_sp17'	6	"Lack of fusion"	0.100000000000000
81x81 uint16	'B10_sp18'	6	"Lack of fusion"	0.140000000000000
81x81 uint16	'B10_sp2'	6	"Lack of fusion"	1.41000000000000
81x81 uint16	'B10_sp3'	6	"Lack of fusion"	5.48000000000000
81x81 uint16	'B10_sp4'	6	"Lack of fusion"	7.97000000000000
81x81 uint16	'B10_sp5'	6	"Lack of fusion"	11.6000000000000
81x81 uint16	'B10_sp6'	6	"Lack of fusion"	14.2000000000000
81x81 uint16	'B10_sp7'	6	"Keyhole porosity"	0.0300000000000000
81x81 uint16	'B10_sp8'	6	"Residual porosity"	0.0100000000000000
81x81 uint16	'B10_sp9'	6	"Residual porosity"	0.00500000000000000
81x81 uint16	'B11_sp1'	6	"Lack of fusion"	0.780000000000000
81x81 uint16	'B11_sp10'	6	"Lack of fusion"	0.440000000000000
81x81 uint16	'B11_sp11'	6	"Lack of fusion"	1.67000000000000
81x81 uint16	'B11_sp12'	6	"Lack of fusion"	4.51000000000000
81x81 uint16	'B11_sp13'	6	"Keyhole porosity"	0.300000000000000
81x81 uint16	'B11_sp14'	6	"Residual porosity"	0.00500000000000000
81x81 uint16	'B11_sp15'	6	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp16'	6	"Lack of fusion"	0.0400000000000000
81x81 uint16	'B11_sp17'	6	"Lack of fusion"	0.120000000000000
81x81 uint16	'B11_sp18'	6	"Lack of fusion"	0.260000000000000
81x81 uint16	'B11_sp2'	6	"Lack of fusion"	5.95000000000000
81x81 uint16	'B11_sp3'	6	"Lack of fusion"	14.3000000000000
81x81 uint16	'B11_sp4'	6	"Lack of fusion"	19.4000000000000
81x81 uint16	'B11_sp5'	6	"Lack of fusion"	27.3000000000000
81x81 uint16	'B11_sp6'	6	"Lack of fusion"	32.1000000000000
81x81 uint16	'B11_sp7'	6	"Keyhole porosity"	0.0200000000000000
81x81 uint16	'B11_sp8'	6	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp9'	6	"Lack of fusion"	0.0900000000000000
81x81 uint16	'B14_sp1'	6	"Lack of fusion"	16.5000000000000
81x81 uint16	'B14_sp10'	6	"Lack of fusion"	12.1000000000000
81x81 uint16	'B14_sp11'	6	"Lack of fusion"	18.8000000000000
81x81 uint16	'B14_sp12'	6	"Lack of fusion"	25.6000000000000
81x81 uint16	'B14_sp13'	6	"Keyhole porosity"	0.350000000000000
81x81 uint16	'B14_sp14'	6	"Residual porosity"	0.0100000000000000
81x81 uint16	'B14_sp15'	6	"Residual porosity"	0.0300000000000000
81x81 uint16	'B14_sp16'	6	"Lack of fusion"	0.0600000000000000
81x81 uint16	'B14_sp17'	6	"Lack of fusion"	0.390000000000000
81x81 uint16	'B14_sp18'	6	"Lack of fusion"	2.53000000000000
81x81 uint16	'B14_sp2'	6	"Lack of fusion"	26.8000000000000
81x81 uint16	'B14_sp3'	6	"Lack of fusion"	35.1000000000000
81x81 uint16	'B14_sp4'	6	"Lack of fusion"	45.4000000000000
81x81 uint16	'B14_sp5'	6	"Lack of fusion"	50
81x81 uint16	'B14_sp6'	6	"Lack of fusion"	50
81x81 uint16	'B14_sp7'	6	"Keyhole porosity"	0.110000000000000
81x81 uint16	'B14_sp8'	6	"Lack of fusion"	0.310000000000000
81x81 uint16	'B14_sp9'	6	"Lack of fusion"	6.90000000000000
81x81 uint16	'B16_20mi_sp1'	6	"Keyhole porosity"	0.390000000000000
81x81 uint16	'B16_20mi_sp2'	6	"Residual porosity"	0.0100000000000000
81x81 uint16	'B16_20mi_sp3'	6	"Keyhole porosity"	4.47000000000000
81x81 uint16	'B16_20mi_sp4'	6	"Keyhole porosity"	2.55000000000000
81x81 uint16	'B16_20mi_sp5'	6	"Keyhole porosity"	2.34000000000000
81x81 uint16	'B17_40mi_sp1'	6	"Keyhole porosity"	0.140000000000000
81x81 uint16	'B17_40mi_sp2'	6	"Lack of fusion"	0.760000000000000
81x81 uint16	'B17_40mi_sp3'	6	"Keyhole porosity"	5.12000000000000
81x81 uint16	'B17_40mi_sp4'	6	"Keyhole porosity"	2.77000000000000
81x81 uint16	'B17_40mi_sp5'	6	"Keyhole porosity"	3.31000000000000
81x81 uint16	'B17_40mi_sp6'	6	"Keyhole porosity"	3.50000000000000
81x81 uint16	'B10_sp1'	7	"Lack of fusion"	0.310000000000000
81x81 uint16	'B10_sp10'	7	"Lack of fusion"	0.190000000000000
81x81 uint16	'B10_sp11'	7	"Lack of fusion"	0.630000000000000
81x81 uint16	'B10_sp12'	7	"Lack of fusion"	1.27000000000000
81x81 uint16	'B10_sp13'	7	"Keyhole porosity"	0.440000000000000
81x81 uint16	'B10_sp14'	7	"Residual porosity"	0.00500000000000000
81x81 uint16	'B10_sp15'	7	"Residual porosity"	0.00500000000000000
81x81 uint16	'B10_sp16'	7	"Residual porosity"	0.0200000000000000
81x81 uint16	'B10_sp17'	7	"Lack of fusion"	0.100000000000000
81x81 uint16	'B10_sp18'	7	"Lack of fusion"	0.140000000000000
81x81 uint16	'B10_sp2'	7	"Lack of fusion"	1.41000000000000
81x81 uint16	'B10_sp3'	7	"Lack of fusion"	5.48000000000000
81x81 uint16	'B10_sp4'	7	"Lack of fusion"	7.97000000000000
81x81 uint16	'B10_sp5'	7	"Lack of fusion"	11.6000000000000
81x81 uint16	'B10_sp6'	7	"Lack of fusion"	14.2000000000000
81x81 uint16	'B10_sp7'	7	"Keyhole porosity"	0.0300000000000000
81x81 uint16	'B10_sp8'	7	"Residual porosity"	0.0100000000000000
81x81 uint16	'B10_sp9'	7	"Residual porosity"	0.00500000000000000
81x81 uint16	'B11_sp1'	7	"Lack of fusion"	0.780000000000000
81x81 uint16	'B11_sp10'	7	"Lack of fusion"	0.440000000000000
81x81 uint16	'B11_sp11'	7	"Lack of fusion"	1.67000000000000
81x81 uint16	'B11_sp12'	7	"Lack of fusion"	4.51000000000000
81x81 uint16	'B11_sp13'	7	"Keyhole porosity"	0.300000000000000
81x81 uint16	'B11_sp14'	7	"Residual porosity"	0.00500000000000000
81x81 uint16	'B11_sp15'	7	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp16'	7	"Lack of fusion"	0.0400000000000000
81x81 uint16	'B11_sp17'	7	"Lack of fusion"	0.120000000000000
81x81 uint16	'B11_sp18'	7	"Lack of fusion"	0.260000000000000
81x81 uint16	'B11_sp2'	7	"Lack of fusion"	5.95000000000000
81x81 uint16	'B11_sp3'	7	"Lack of fusion"	14.3000000000000
81x81 uint16	'B11_sp4'	7	"Lack of fusion"	19.4000000000000
81x81 uint16	'B11_sp5'	7	"Lack of fusion"	27.3000000000000
81x81 uint16	'B11_sp6'	7	"Lack of fusion"	32.1000000000000
81x81 uint16	'B11_sp7'	7	"Keyhole porosity"	0.0200000000000000
81x81 uint16	'B11_sp8'	7	"Residual porosity"	0.0100000000000000
81x81 uint16	'B11_sp9'	7	"Lack of fusion"	0.0900000000000000
81x81 uint16	'B14_sp1'	7	"Lack of fusion"	16.5000000000000
81x81 uint16	'B14_sp10'	7	"Lack of fusion"	12.1000000000000
81x81 uint16	'B14_sp11'	7	"Lack of fusion"	18.8000000000000
81x81 uint16	'B14_sp12'	7	"Lack of fusion"	25.6000000000000
